Ident,Type,Origin,Destination,Departure,Estimated Arrival Time,Estimated Time Enroute
 CFS100,C208,Albuquerque Intl Sunport (KABQ),Albuquerque Intl Sunport (KABQ),Fri 09:31AM MDT,Fri 09:53AM MDT,00:20
 N928JP,C208,Burley Muni (KBYI),,Fri 09:30AM MDT,,
 N4751W,C208,Salt Lake City Intl (KSLC),,Fri 09:27AM MDT,,
 PCM8706,C208,McCarran Intl (KLAS),Cedar City Rgnl (KCDC),Fri 08:27AM PDT,Fri 10:33AM MDT,01:05
 N220EA,C208,Sebastian Muni (X26),,Fri 11:26AM EDT,,
 BXR335,C208,Redding Muni (KRDD),Siskiyou County (KSIY),Fri 08:25AM PDT,Fri 09:06AM PDT,00:40
 N912FE,C208,N Platte Rgnl (KLBF),Eppley Airfield (KOMA),Fri 10:24AM CDT,Fri 11:42AM CDT,00:53
 BEZ413,C208,Luis Munoz Marin Intl (SJU / TJSJ),,Fri 11:24AM AST,,
 SLQ712,C208,Vancouver Int'l (CYVR),Victoria Int'l (CYYJ),Fri 08:24AM PDT,Fri 08:38AM PDT,00:14
 N194SM,C208,Victoria Rgnl (KVCT),,Fri 10:23AM CDT,,
 N9680B,C208,"Near Long Beach, CA",,Fri 08:23AM PDT,,
 PCM8685,C208,San Diego Intl (KSAN),Imperial County (KIPL),Fri 08:22AM PDT,Fri 09:07AM PDT,00:45
 N279PM,C208,Hays Rgnl (KHYS),Hutchinson Rgnl (KHUT),Fri 10:22AM CDT,Fri 10:54AM CDT,00:30
 PCM8658,C208,Sacramento Intl (KSMF),Jack Mc Namara Field (KCEC),Fri 08:22AM PDT,Fri 09:52AM PDT,01:30
 FDY232,C208,Dubois Rgnl (KDUJ),Pittsburgh Intl (KPIT),Fri 11:22AM EDT,Fri 11:49AM EDT,00:35
 BEZ1403,C208,Luis Munoz Marin Intl (SJU / TJSJ),,Fri 11:18AM AST,,
 CPT8834,C208,Great Falls Intl (KGTF),Bozeman Yellowstone Intl (KBZN),Fri 09:17AM MDT,Fri 10:17AM MDT,01:00
 N463DB,C208,"Near Grand Marais, MN",,Fri 10:17AM CDT,,
 PCM8204,C208,Sacramento Intl (KSMF),Redding Muni (KRDD),Fri 08:17AM PDT,Fri 09:07AM PDT,00:50
 CFS8800,C208,Spokane Intl (KGEG),Eastern Oregon Rgnl (KPDT),Fri 08:14AM PDT,Fri 09:14AM PDT,01:00
 CFS8801,C208,Phoenix Sky Harbor Intl (KPHX),Lake Havasu City (KHII),Fri 08:13AM MST,Fri 09:27AM MST,01:27
 WIG8101,C208,Luis Munoz Marin Intl (SJU / TJSJ),Princess Juliana Int'l (SXM / TNCM),Fri 11:13AM AST,Fri 11:56AM AST,00:42
 CFS8695,C208,Seattle-Tacoma Intl (KSEA),Orcas Island (KORS),Fri 08:13AM PDT,Fri 09:03AM PDT,00:32
 N820FE,C208,Garden City Rgnl (KGCK),Wichita Eisenhower (KICT),Fri 10:13AM CDT,Fri 11:09AM CDT,01:02
 N347KA,C208,Molokai (MKK / PHMK),,Fri 05:12AM HST,,
 N723FX,C208,Mc Cook Ben Nelson Rgnl (KMCK),Eppley Airfield (KOMA),Fri 10:12AM CDT,Fri 11:32AM CDT,01:20
 PCM8798,C208,McCarran Intl (KLAS),St George Rgnl (KSGU),Fri 08:11AM PDT,Fri 10:02AM MDT,00:50
 CFS8657,C208,Seattle-Tacoma Intl (KSEA),William R Fairchild Intl (KCLM),Fri 08:10AM PDT,Fri 08:45AM PDT,00:29
 CPT8796,C208,Great Falls Intl (KGTF),Wokal Field/Glasgow-Valley County (KGGW),Fri 09:10AM MDT,Fri 10:26AM MDT,01:15
 CFS8699,C208,Seattle-Tacoma Intl (KSEA),Bellingham Intl (KBLI),Fri 08:09AM PDT,Fri 08:56AM PDT,00:45
 PCM8731,C208,Sacramento Intl (KSMF),California Redwood Coast-Humboldt County (KACV),Fri 08:09AM PDT,Fri 09:29AM PDT,01:20
 FDY307,C208,Bradford Rgnl (KBFD),Pittsburgh Intl (KPIT),Fri 11:08AM EDT,Fri 11:50AM EDT,00:46
 PCM8684,C208,San Diego Intl (KSAN),Imperial County (KIPL),Fri 08:07AM PDT,Fri 08:52AM PDT,00:45
 CFS8670,C208,Portland Intl (KPDX),Southwest Oregon Rgnl (KOTH),Fri 08:06AM PDT,Fri 09:01AM PDT,00:59
 PCM8650,C208,Sacramento Intl (KSMF),Ukiah Muni (KUKI),Fri 08:06AM PDT,Fri 08:46AM PDT,00:40
 CFS8746,C208,Spokane Intl (KGEG),Lewiston-Nez Perce County (KLWS),Fri 08:05AM PDT,Fri 09:05AM PDT,01:00
 CFS8812,C208,Phoenix Sky Harbor Intl (KPHX),Yuma Intl (KNYL),Fri 08:04AM MST,Fri 09:07AM MST,00:57
 PCM8662,C208,Ontario Intl (KONT),Meadows Field (KBFL),Fri 08:04AM PDT,Fri 08:55AM PDT,00:50
 CFS8692,C208,Portland Intl (KPDX),Roberts Field (KRDM),Fri 08:04AM PDT,Fri 08:51AM PDT,00:40
 CFS8977,C208,Phoenix Sky Harbor Intl (KPHX),Flagstaff Pulliam (KFLG),Fri 08:04AM MST,Fri 08:46AM MST,00:42
 N717HP,C208,Ohio State University (KOSU),,Fri 11:04AM EDT,,
 CPT8772,C208,Great Falls Intl (KGTF),Bozeman Yellowstone Intl (KBZN),Fri 09:02AM MDT,Fri 09:42AM MDT,01:00
 IRO761,C208,Houghton County Memorial (KCMX),Ford (KIMT),Fri 11:00AM EDT,Fri 10:33AM CDT,00:30
 KMK8,C208,Hickam Field (PHIK),,Fri 05:00AM HST,,
 PCM8694,C208,Ontario Intl (KONT),San Luis County Rgnl (KSBP),Fri 07:59AM PDT,Fri 09:19AM PDT,01:20
 CPT8589,C208,Bemidji Rgnl (KBJI),Hector Intl (KFAR),Fri 09:59AM CDT,Fri 10:34AM CDT,00:37
 CFS8511,C208,Seattle-Tacoma Intl (KSEA),Skagit Rgnl (KBVS),Fri 07:58AM PDT,Fri 08:34AM PDT,00:25
