Ident,Type,Origin,Destination,Departure,Estimated Arrival Time,Estimated Time Enroute,Flight Plan,Estimated Time Enroute in Minutes
 N48XB,PC12,Kelly Field (KSKF),Stevens Field (KPSO),Fri 10:31AM CDT,Fri 12:16PM MDT,02:33,Available,153.0
 N464TT,PC12,Huntsville Executive (KMDQ),Destin Executive (KDTS),Fri 10:28AM CDT,Fri 11:43AM CDT,01:10,Available,70.0
 N92AG,PC12,Anchorage Intl (PANC),Dillingham (DLG / PADL),Fri 07:23AM AKDT,Fri 08:41AM AKDT,01:18,Available,78.0
 N62NG,PC12,Grant County (KSVC),Midwest Ntl (KGPH),Fri 09:22AM MDT,Fri 01:12PM CDT,02:49,Available,169.0
 N917JG,PC12,Truckee-Tahoe (KTRK),Shively Field (KSAA),Fri 08:20AM PDT,Fri 11:44AM MDT,02:24,Available,144.0
 N399NG,PC12,Grant County (W99),Washington Dulles Intl (KIAD),Fri 11:20AM EDT,Fri 11:52AM EDT,00:27,Available,27.0
 N684NG,PC12,Wellington Aero Club (FD38),Fort Lauderdale Executive (KFXE),Fri 11:19AM EDT,Fri 11:50AM EDT,00:25,Available,25.0
 CNS737,PC12,Pittsfield Muni (KPSF),Morgantown Muni (KMGW),Fri 11:17AM EDT,Fri 12:51PM EDT,01:28,Available,88.0
 CNS4910,PC12,Merritt Island (KCOI),,Fri 11:16AM EDT,,NULL,Not Available,
 CNS999,PC12,Igor I Sikorsky Memorial (KBDR),Nantucket Memorial (KACK),Fri 11:16AM EDT,Fri 11:54AM EDT,00:36,Available,36.0
 PNO729,PC12,Hall Beach (CYUX),Igloolik (CYGT),Fri 11:15AM EDT,Fri 11:25AM EDT,00:10,Available,10.0
 N929NG,PC12,Osceola Muni (7M4),Memphis Intl (KMEM),Fri 10:15AM CDT,Fri 10:33AM CDT,00:11,Available,11.0
 N177NX,PC12,Montrose Rgnl (KMTJ),Johnson County Executive (KOJC),Fri 09:14AM MDT,Fri 12:21PM CDT,02:07,Available,127.0
